This England: The Histories;2000;;;;
Smallville;2001;;;;
Daredevil;2003;;;;
Charlie's Angels: Full Throttle;2003;;;;
Alexander;2004;;;;
The Hitchhiker's Guide to the Galaxy;2005;;;;
Batman Begins;2005;;;;
Fantastic Four;2005;;;;
Grey's Anatomy;2005;;;;
Casino Royale;2006;;;;
Robin Hood;2006;;;;
Merlin;2008;;;;
Max Payne;2008;;;;
King Lear;2010;;;;
Percy Jackson & the Olympians: The Lightning Thief;2010;;;;
Robin Hood;2010;;;;
Thor;2011;;;;
Natasha, Pierre & the Great Comet of 1812;2012;;;;
Skyfall;2012;;;;
The Great Gatsby;2013;;;;
Man of Steel;2013;;;;
The Sound of Music Live!;2013;;;;
Hannibal;2013;;;;
Thor: The Dark World;2013;;;;
Mary Kom;2014;;;;
Annie;2014;;;;
The Amazing Spider-Man 2;2014;;;;
The Equalizer;2014;;;;
The Flash;2014;;;;
Fantastic Four;2015;;;;
Hamilton;2015;;;;
Quantico;2015;;;;
Supergirl;2015;;;;
Harry Potter and the Cursed Child;2016;;;;
Suicide Squad;2016;;;;
The Rocky Horror Picture Show: Let's Do the Time Warp Again;2016;;;;
Doctor Strange;2016;;;;
The Promise;2016;;;;
The Girl with All the Gifts;2016;;;;
Dynasty;2017;;;;
Riverdale;2017;;;;
Spider-Man: Homecoming;2017;;;;
Beauty and the Beast;2017;;;;
The Dark Tower;2017;;;;
Frozen the Musical;2017;;;;
Thor: Ragnarok;2017;;;;
A Series of Unfortunate Events;2017;;;;
1066: A Year to Conquer England;2017;;;;
The Equalizer 2;2018;;;;
Troy: Fall of a City;2018;;;;
Deadpool 2;2018;;;;
Fahrenheit 451;2018;;;;
Titans;2018;;;;
Colette;2018;;;;
Pokémon Detective Pikachu;2018;;;;
Mary Queen of Scots;2018;;;;
Les Misérables;2018;;;;
Robin Hood;2018;;;;
Krypton;2018;;;;
The Witcher;2019;;;;
The Personal History of David Copperfield;2019;;;;
Birds of Prey;2020;;;;
Artemis Fowl;2020;;;;
Transplant;2020;;;;
The Great;2020;;;;
Bridgerton;2020;;;;
The Witches;2020;;;;
Mortal Kombat;2021;;;;
The Equalizer;2021;;;;
Without Remorse;2021;;;;
Anne Boleyn;2021;;;;
The Green Knight;2021;;;;
Cruella;2021;;;;
Spider-Man: No Way Home;2021;;;;
Cowboy Bebop;2021;;;;
Resident Evil: Welcome to Raccoon City;2021;;;;
The Electrical Life of Louis Wain;2021;;;;
Venom: Let There Be Carnage;2021;;;;
The Tragedy of Macbeth;2021;;;;
The Irregulars;2022;;;;
The Batman;2022;;;;
House of the Dragon;2022;;;;
Halo;2022;;;;
Resident Evil;2022;;;;
Pinocchio;2022;;;;
Black Adam;2022;;;;
The Staircase;2022;;;;
The Little Mermaid;2023;;;;
The Flash;2023;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;